Client,Sex,Age,Tenure,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,VolumeCred,VolumeCred_CA,TransactionsCred,TransactionsCred_CA,VolumeDeb,VolumeDeb_CA,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDeb_CA,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder,Sale_MF,Sale_CC,Sale_CL,Revenue_MF,Revenue_CC,Revenue_CL
11,M,30,40,1,1,0,0,0,0,709.9025,5.590357143,0,0,0,0,451.8478571,449.3960714,3,2,412.8928571,412.8928571,410.7142857,0,0,5,5,3,0,0,NULL,NULL,NULL,NULL,NULL,NULL
12,M,45,155,1,0,0,0,0,0,1075.475,0,0,0,0,0,466.8003571,466.8003571,3,3,770.2510714,770.2510714,285.7142857,393.6082143,87.53571429,19,19,1,13,4,NULL,NULL,NULL,NULL,NULL,NULL
13,F,66,132,1,1,0,0,0,1,353.8396429,5.8325,0,0,0,3458.295714,1201.107143,1095.644643,6,3,1232.796429,1158.367857,339.2857143,173.4321429,312.5357143,41,39,6,17,10,0,0,0,0,0,0
14,F,38,95,1,1,2,0,1,1,23.34464286,403.6592857,13184.9225,0,53.13214286,17062.32429,4358.740714,3567.309286,13,7,2385.786786,1986.292857,625,399.4939286,383.5357143,46,21,5,25,10,0,0,0,0,0,0
15,M,26,174,1,0,0,0,0,0,1.545357143,0,0,0,0,0,47.4375,47.4375,2,2,20.80357143,20.80357143,0,17.41071429,0,2,2,0,1,0,0,0,0,0,0,0
16,M,46,149,1,1,2,0,0,0,10015.92464,31.65857143,68246.335,0,0,0,394.7125,385.755,3,2,538.8714286,538.8714286,0,59.26428571,479.6071429,11,11,0,1,10,NULL,NULL,NULL,NULL,NULL,NULL
17,F,64,150,1,0,0,0,0,0,338.7764286,0,0,0,0,0,1309.474643,1309.474643,4,4,5000.515357,5000.515357,803.5714286,168.9260714,4023.767857,33,33,5,7,20,0,0,0,0,0,0
18,M,25,41,1,0,0,0,1,0,935.9632143,0,0,0,1016.2925,0,2585.357143,2390.907143,8,2,1869.477857,1274.149643,703.5714286,712.6075,266.4285714,44,24,6,22,7,NULL,NULL,NULL,NULL,NULL,NULL
19,F,46,94,1,1,0,0,0,0,26118.09857,71661.59286,0,0,0,0,812.49,812.4714286,3,2,148.4467857,148.4467857,0,0,144.1253571,5,5,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL
20,M,27,181,1,1,0,0,0,0,2194.472143,18302.0625,0,0,0,0,452.6175,451.55,4,3,221.4285714,221.4285714,107.1428571,10.71428571,103.5714286,7,7,3,1,3,0,1,0,0,3.8225,0
21,F,24,60,1,1,0,0,0,0,434.7425,173499.8629,0,0,0,0,409.8507143,409.3003571,3,2,505.6535714,505.6535714,178.5714286,259.1892857,64.28571429,22,22,4,14,3,0,1,0,0,3.607142857,0
22,M,54,0,1,0,0,0,0,0,2492.146786,0,0,0,0,0,2423.411071,2423.411071,7,7,3587.078214,3587.078214,1392.682143,466.84,1273.107143,29,29,4,12,9,0,1,1,0,1.107142857,30.56035714
23,M,4,160,1,2,4,1,0,0,22.96714286,25325.43786,868.7035714,333.4007143,0,0,559.1042857,559.0246429,4,3,945.715,945.715,107.1428571,529.3792857,309.1928571,33,33,1,26,6,0,0,1,0,0,8.25
24,F,29,23,1,0,0,0,0,0,227.3110714,0,0,0,0,0,1141.0925,1141.0925,3,3,902.0678571,902.0678571,0,258.425,639.5357143,22,22,0,6,15,NULL,NULL,NULL,NULL,NULL,NULL
25,F,97,181,1,0,0,0,0,0,79.38107143,0,0,0,0,0,813.67,813.67,4,4,325.2178571,325.2178571,121.4285714,202.5392857,0,19,19,5,13,0,NULL,NULL,NULL,NULL,NULL,NULL
26,F,27,24,1,0,1,1,0,0,1868.234286,0,61064.28571,0,0,0,480.7871429,480.7871429,3,3,476.7142857,476.7142857,457.1428571,0,16.17857143,7,7,4,0,2,0,0,0,0,0,0
27,M,62,181,1,0,0,1,0,0,1649.98,0,0,0,0,0,10491.71071,10134.56786,4,3,425,67.85714286,0,0,0,2,1,0,0,0,1,0,0,220.4882143,0,0
28,F,18,28,1,0,0,0,0,0,14.60678571,0,0,0,0,0,926.7871429,926.7871429,2,2,979.5214286,979.5214286,0,19.2,565.3214286,9,9,0,1,6,NULL,NULL,NULL,NULL,NULL,NULL
29,F,60,150,1,0,0,1,0,0,373.3542857,0,0,0,0,0,199.4935714,192.6217857,5,4,385.2435714,192.6217857,92.85714286,0,89.28571429,8,4,1,0,1,0,1,0,0,4.286785714,0
30,M,54,2,1,1,2,1,1,0,162.4825,0.323928571,0,510.7796429,26.38357143,0,4911.420357,4839.809643,10,5,3119.271786,2822.118214,528.5714286,378.5357143,2128.636786,44,19,4,26,9,NULL,NULL,NULL,NULL,NULL,NULL
31,F,59,97,1,0,0,0,1,1,2336.850714,0,0,0,613.6017857,679.5007143,1224.863571,1056.094286,6,2,2816.695714,2697.481429,57.14285714,1320.296429,843.8278571,46,41,1,22,13,0,0,0,0,0,0
32,M,29,15,2,0,0,1,0,1,12295.25857,0,0,0,0,14708.57143,2402.402143,1591.587857,11,8,2303.747143,1591.587857,385.7142857,0,280.2857143,18,10,4,0,2,NULL,NULL,NULL,NULL,NULL,NULL
33,M,71,150,1,0,0,0,0,0,18635.57536,0,0,0,0,0,730.5721429,730.5721429,5,5,635.8428571,635.8428571,139.2857143,56.73571429,436.4285714,13,13,2,4,6,0,1,1,0,3.25,14.98964286
34,F,48,104,1,1,3,1,1,0,188.6085714,1343.258929,0,0,728.6689286,0,18889.29393,18134.3675,11,4,8458.406429,7683.438214,1107.142857,844.5753571,5775.094286,54,19,6,33,11,1,0,0,0.601071429,0,0
35,M,66,31,1,0,0,1,0,0,14.86321429,0,0,0,0,0,0.039642857,0.039642857,1,1,698.2428571,698.2428571,107.1428571,290.4928571,245.7857143,21,21,6,9,4,0,0,0,0,0,0
36,F,49,263,1,1,2,0,0,0,60.99785714,1912.6325,3697.8375,0,0,0,7155.630357,7142.885,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0.238035714,0,0
37,F,30,172,1,1,0,0,0,0,19.01357143,3850.173214,0,0,0,0,1205.178571,1188.082857,3,2,889.6303571,889.6303571,382.1428571,265.8803571,238.9285714,32,32,12,16,2,0,1,0,0,0.642857143,0
38,F,27,12,1,1,0,0,0,0,6398.112143,7908.883214,0,0,0,0,987.8585714,987.8585714,4,4,957.6796429,957.6796429,307.1428571,219.4296429,427.7142857,26,26,4,12,9,0,0,0,0,0,0
39,M,78,51,1,0,0,0,0,1,1548.2375,0,0,0,0,286.7235714,670.2682143,615.5467857,4,3,756.5846429,747.6917857,196.4285714,336.8703571,71.42857143,35,33,1,28,1,NULL,NULL,NULL,NULL,NULL,NULL
40,M,27,33,1,0,0,0,0,0,871.7367857,0,0,0,0,0,0.001071429,0.001071429,1,1,18.03571429,18.03571429,0,0,18.03571429,1,1,0,0,1,0,0,0,0,0,0
41,M,20,198,1,0,0,1,0,0,194.9557143,0,0,1373.342857,0,0,1638.628571,1638.628571,4,4,948.9107143,948.9107143,310.7142857,523.9107143,107.1428571,18,18,6,7,1,NULL,NULL,NULL,NULL,NULL,NULL
42,M,23,4,1,0,12,0,0,0,875.3714286,0,0,0,0,0,643.1878571,643.1878571,4,4,546.6428571,546.6428571,178.5714286,68.53571429,296.0714286,9,9,1,1,6,1,0,0,15.27571429,0,0
43,F,65,83,1,0,0,1,0,0,26315.77036,0,0,0,0,0,2230.964286,1716.591071,22,18,2242.764643,1812.185357,410.7142857,334.5978571,551.6428571,51,37,7,10,13,1,1,0,73.04178571,1.964285714,0
44,F,35,51,1,0,0,0,0,0,186.8460714,0,0,0,0,0,0.196428571,0.196428571,1,1,362.6428571,362.6428571,0,0,0,3,3,0,0,0,0,1,0,0,4.464285714,0
45,M,63,52,1,1,0,0,0,0,0,38757.89464,0,0,0,0,5.913928571,0.008571429,2,1,3.392857143,3.392857143,0,0,0,1,1,0,0,0,0,1,1,0,15.39392857,5.556785714
46,M,45,95,1,1,1,0,0,0,503.9935714,3628.388571,1891.052143,0,0,0,2470.373214,2469.470357,6,5,4293.023214,2677.916071,964.2857143,407.1660714,591.8571429,35,32,5,9,16,0,1,0,0,7.1525,0
47,M,45,229,1,1,5,0,0,0,622.2275,1537.054286,0,0,0,0,15.82357143,0.100357143,2,1,1060.306071,1060.306071,0,6.073928571,1053.375,22,22,0,2,19,0,0,1,0,0,4.496071429
48,M,64,92,1,0,5,1,0,0,2418.3175,0,59721.75929,0,0,0,360.975,360.975,2,2,308.5357143,308.5357143,178.5714286,0,128.6785714,8,8,1,0,6,0,1,0,0,0.893928571,0
49,F,46,19,2,0,0,0,0,0,4.145357143,0,0,0,0,0,415.7382143,415.7382143,9,9,111.7142857,111.7142857,0,0,108.6785714,3,3,0,0,2,0,1,0,0,15.24642857,0
50,F,33,109,1,0,0,0,0,0,169.5635714,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0
51,F,67,85,1,1,0,1,0,0,1856.718571,5.896071429,0,0,0,0,34.80392857,0.0075,2,1,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
52,F,43,53,1,0,0,0,1,0,960.5725,0,0,0,0.464285714,0,49.79964286,0,4,0,36.60321429,1.964285714,17.85714286,0,0,8,1,1,0,0,0,0,0,0,0,0
53,M,64,125,1,1,9,1,1,0,0,7522.666429,83343.19786,531.1228571,398.3478571,0,4412.515,4409.652143,4,3,5510.359643,5510.359643,1157.142857,1104.989286,3241.591071,68,68,8,21,34,0,0,0,0,0,0
54,M,38,149,1,0,0,0,0,1,4.55,0,0,0,0,7857.142857,864.5207143,721.4321429,3,2,663.4678571,647.7892857,0,0,107.1428571,6,4,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL
55,F,51,137,1,0,0,0,0,0,735.1589286,0,0,0,0,0,1124.046071,1124.046071,5,5,1104.178571,1104.178571,0,0,1098.5,13,13,0,0,6,NULL,NULL,NULL,NULL,NULL,NULL
56,M,54,105,1,1,0,0,0,0,583.7142857,2907.094286,0,0,0,0,977.3978571,964.9039286,3,2,478.7457143,478.7457143,314.2857143,164.46,0,10,10,3,7,0,0,0,0,0,0,0
57,M,28,157,1,0,0,0,0,0,1155.26,0,0,0,0,0,134.3575,134.3575,20,20,183.735,183.735,107.1428571,34.735,36.57142857,6,6,1,2,1,NULL,NULL,NULL,NULL,NULL,NULL
58,F,45,49,1,0,6,0,0,0,1263.052857,0,1793.9,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0
59,F,32,149,1,0,0,0,0,0,5676.246429,0,0,0,0,0,449.7532143,449.7532143,2,2,85.44285714,85.44285714,0,0,0,2,2,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
60,F,20,28,1,0,0,0,0,0,3891.116071,0,0,0,0,0,356.4042857,356.4042857,2,2,1.964285714,1.964285714,0,0,0,1,1,0,0,0,0,0,0,0,0,0
61,F,14,159,1,0,0,0,0,0,232.8353571,0,0,0,0,0,0.000357143,0.000357143,1,1,0.892857143,0.892857143,0,0,0,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
62,M,51,113,1,0,0,0,0,0,317.9525,0,0,0,0,0,321.4332143,321.4332143,2,2,261.5,261.5,139.2857143,0,111.5,4,4,2,0,1,NULL,NULL,NULL,NULL,NULL,NULL
63,M,37,29,1,1,2,0,0,0,351.8014286,17220.45286,5616.197857,0,0,0,623.8671429,353.6807143,4,2,362.6092857,362.6092857,0,0,361.2878571,4,4,0,0,3,NULL,NULL,NULL,NULL,NULL,NULL
64,F,61,38,1,0,0,1,0,0,0.759642857,0,0,0,0,0,1275.826786,1275.826786,5,5,1449.484643,1449.484643,535.7142857,518.1278571,393.0353571,51,51,3,42,4,NULL,NULL,NULL,NULL,NULL,NULL
65,F,67,180,1,0,0,0,0,0,220.4589286,0,0,0,0,0,191.1789286,191.1789286,4,4,190.1071429,190.1071429,75,18.57142857,85.82142857,19,19,6,9,2,0,0,0,0,0,0
66,M,62,91,1,1,1,0,1,0,101.3239286,4104.848929,0,0,671.9992857,0,2135.977143,0.017857143,9,1,12005.12964,9965.385714,0,962.9582143,0,23,5,0,14,0,0,0,0,0,0,0
67,F,14,20,1,0,0,0,0,0,1682.813214,0,0,0,0,0,632.0292857,632.0292857,2,2,69.53571429,69.53571429,0,60.78571429,0,3,3,0,1,0,0,0,1,0,0,4.190357143
68,M,54,20,1,0,0,1,0,0,4714.448214,0,0,0,0,0,874.6642857,832.8860714,6,4,815.5914286,773.8510714,678.5553571,34.33928571,10.71428571,33,31,13,3,1,0,1,0,0,3.5,0
69,M,41,17,1,0,0,0,0,0,1909.81,0,0,0,0,0,3851.019286,3851.019286,3,3,988.4967857,988.4967857,135.7142857,199.0821429,653.7003571,21,21,2,10,9,1,0,0,42.71660714,0,0
70,M,38,152,1,0,0,0,0,0,346.4853571,0,0,0,0,0,1785.719286,1785.719286,3,3,1731.7975,1731.7975,632.1428571,130.4428571,937.6046429,19,19,4,3,10,NULL,NULL,NULL,NULL,NULL,NULL
71,F,43,15,1,0,0,1,0,0,53.59607143,0,0,0,0,0,271.4303571,271.4303571,2,2,301.5,301.5,178.5714286,0,120.3214286,6,6,2,0,3,0,0,0,0,0,0
72,M,47,129,1,0,0,0,0,0,1377.374286,0,0,0,0,0,430.8242857,430.8242857,4,4,1261.107143,1261.107143,357.1428571,0,880.1071429,13,13,1,0,10,0,0,0,0,0,0
73,M,87,163,1,1,1,1,0,0,179.3571429,21.01607143,53571.42857,0,0,0,1283.688571,533.3767857,6,3,1053.6,1053.596071,0,0,304.5164286,4,3,0,0,2,0,1,1,0,1.785714286,18.35392857
74,M,63,20,1,1,0,0,1,0,736.7660714,0,0,0,18.76214286,0,833.285,793.8325,8,3,708.3928571,706.9642857,214.2857143,0,492.6785714,7,5,3,0,2,NULL,NULL,NULL,NULL,NULL,NULL
75,M,59,57,1,1,35,0,0,0,3707.065714,5589.0225,4392.478571,0,0,0,503.6742857,496.2525,5,2,511.2857143,511.2857143,53.57142857,188.6785714,266.5357143,13,13,1,6,5,1,0,0,0.004821429,0,0
76,F,66,178,1,0,0,1,1,1,178.3085714,0,0,0,886.5778571,3447.673571,792.6785714,659.2928571,7,2,1587.809643,1559.736071,285.7142857,39.42857143,0,16,9,2,1,0,0,0,0,0,0,0
77,M,71,2,1,0,0,0,0,0,168.1757143,0,0,0,0,0,1752.813929,1752.813929,2,2,1470.986429,1470.986429,232.1428571,743.915,492.6428571,16,16,1,10,4,NULL,NULL,NULL,NULL,NULL,NULL
78,F,24,142,1,0,0,0,0,0,3684.754286,0,0,0,0,0,4312.963571,4312.963571,5,5,2721.265,2721.265,435.4785714,1592.823571,683.6071429,64,64,3,47,10,0,0,0,0,0,0
79,F,41,75,1,2,1,0,0,0,340.195,901.5539286,4771.731071,0,0,0,50.34857143,0.000357143,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,M,9,81,1,0,0,0,0,0,2756.826786,0,0,0,0,0,25.00035714,25.00035714,2,2,18.62142857,18.62142857,0,18.62142857,0,6,6,0,6,0,0,0,0,0,0,0
81,M,86,19,1,0,0,0,0,0,5860.190714,0,0,0,0,0,0.073214286,0.073214286,1,1,3.392857143,3.392857143,0,0,0,1,1,0,0,0,0,0,0,0,0,0
82,F,20,151,1,0,1,0,0,0,11324.90786,0,34612.79036,0,0,0,1001.576071,1001.576071,4,4,886.0357143,886.0357143,357.1428571,0,525.2857143,16,16,1,0,14,0,0,1,0,0,5.396428571
83,F,43,111,1,3,7,0,0,0,14.855,90800.88214,0,0,0,0,569.7671429,568.7203571,4,3,225.0714286,225.0714286,0,0,224.3928571,4,4,0,0,3,0,1,1,0,5.25,28.68535714
84,M,66,235,2,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,F,25,60,1,0,0,1,0,0,364.4975,0,0,0,0,0,196.4964286,196.4964286,3,3,120.25,120.25,71.42857143,8.892857143,29.21428571,6,6,2,1,2,0,0,0,0,0,0
86,M,36,31,1,0,0,0,0,0,34.32214286,0,0,0,0,0,9319.197143,9319.197143,4,4,1086.582143,1086.582143,460.7142857,0,203.6785714,15,15,6,0,5,1,0,0,1.457321429,0,0
87,M,45,58,1,0,19,0,0,0,826.4403571,0,1035.577143,0,0,0,0.000357143,0.000357143,1,1,3.392857143,3.392857143,0,0,0,1,1,0,0,0,1,0,0,3.875178571,0,0
88,M,21,33,1,0,0,0,0,0,7153.65,0,0,0,0,0,127.5721429,127.5721429,3,3,110.0642857,110.0642857,46.42857143,62.38571429,0,12,12,5,6,0,0,0,0,0,0,0
89,F,40,118,1,1,2,0,0,0,137.7014286,893.1703571,1462.066071,0,0,0,1979.155714,1940.126786,6,5,2601.4375,1887.151786,1089.285714,82.43107143,715.435,24,23,8,2,13,NULL,NULL,NULL,NULL,NULL,NULL
90,F,20,81,1,0,0,0,0,0,649.5714286,0,0,0,0,0,107.1432143,107.1432143,2,2,78.95357143,78.95357143,35.71428571,3.382142857,35.82142857,4,4,1,1,1,0,0,0,0,0,0
91,M,35,61,1,0,0,0,0,0,0,0,0,0,0,0,1217.780714,1217.780714,2,2,1196.107143,1196.107143,571.4285714,503.25,121.4285714,29,29,4,23,2,NULL,NULL,NULL,NULL,NULL,NULL
92,M,59,149,1,0,0,0,0,0,2728.945714,0,0,0,0,0,8921.083214,8921.083214,6,6,9175.231071,9175.231071,0,828.6692857,5577.774286,36,36,0,15,12,0,0,0,0,0,0
93,F,31,8,1,2,0,1,1,0,8.870357143,3655.818929,0,23.06428571,1.428571429,0,2186.541071,1367.827857,25,17,2137.954643,1356.104643,32.14285714,0,220.3214286,36,16,1,0,8,0,1,0,0,3.392857143,0
94,M,22,189,1,1,0,0,0,0,8079.0425,7620.556071,0,0,0,0,527.6478571,527.3632143,4,3,367.0892857,367.0892857,232.1428571,79,55.30357143,7,7,1,2,3,NULL,NULL,NULL,NULL,NULL,NULL
95,M,35,151,1,0,0,1,0,1,3662.217857,0,0,0,0,2812.066786,1808.9675,1395.194286,18,13,2289.280714,1895.194286,1214.285714,0,60.39285714,26,17,6,0,2,0,0,1,0,0,6.071428571
96,M,30,151,1,1,2,0,0,0,22.32857143,2077.6125,14285.71429,0,0,0,438.7257143,438.2985714,3,2,110.3571429,110.3571429,0,0,108.5714286,3,3,0,0,2,0,1,0,0,6.107142857,0
97,F,71,135,1,1,0,1,0,1,67.9925,6082.56,0,142.0660714,0,809.465,3048.894286,2560.763571,20,14,2644.318571,2314.883214,1057.142857,304.3317857,433.1928571,53,44,9,15,10,NULL,NULL,NULL,NULL,NULL,NULL
98,M,51,150,1,0,0,1,0,0,468.4696429,0,0,0,0,0,153.5721429,153.5721429,5,5,236.5885714,236.5885714,0,7.16,226.0357143,7,7,0,1,5,NULL,NULL,NULL,NULL,NULL,NULL
99,F,68,150,1,0,12,0,0,0,22.89857143,0,4689.070357,0,0,0,1807.352857,1807.352857,5,5,1669.236429,1669.236429,0,951.415,698.7142857,34,34,0,17,15,NULL,NULL,NULL,NULL,NULL,NULL
100,F,39,86,1,0,0,0,1,1,0,0,0,0,247.4932143,802.8071429,1471.782857,953.1439286,11,3,1351.497857,911.4642857,35.71428571,413.4085714,327.2857143,36,13,1,17,8,NULL,NULL,NULL,NULL,NULL,NULL
101,M,63,139,1,1,2,0,0,0,473.3592857,452.2821429,14429.05143,0,0,0,227.3657143,192.8510714,4,3,393.8914286,393.8914286,357.1428571,0,10.82142857,5,5,1,0,1,NULL,NULL,NULL,NULL,NULL,NULL
102,M,20,172,1,0,0,1,0,0,48.77107143,0,0,114.14,0,0,4160.701071,2840.979643,38,33,4245.904643,2803.675714,232.1428571,786.3367857,202.2496429,86,58,4,38,6,1,0,1,2.958035714,0,6.9525
103,F,80,199,1,0,0,0,0,0,42.99071429,0,0,0,0,0,0.010357143,0.000714286,2,1,6.438214286,6.428571429,0,0,0,2,1,0,0,0,0,1,0,0,12.25642857,0
104,M,10,65,1,1,1,0,0,0,501.29,41481.50786,0,0,0,0,528.3825,527.7946429,4,3,556.1075,556.1075,0,53,495.8575,10,10,0,1,8,NULL,NULL,NULL,NULL,NULL,NULL
105,M,49,150,1,0,0,0,0,0,670.2957143,0,0,0,0,0,1046.461429,1046.461429,4,4,683.7242857,683.7242857,303.5714286,374.7957143,0,13,13,3,6,0,NULL,NULL,NULL,NULL,NULL,NULL
106,F,48,88,1,0,3,0,0,0,112.35,0,0,0,0,0,745.22,745.22,2,2,319.8928571,319.8928571,0,0,316.9642857,7,7,0,0,6,0,0,0,0,0,0
107,F,26,181,1,0,0,0,0,0,23.33071429,0,0,0,0,0,0.013214286,0.013214286,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,F,39,82,1,2,0,1,0,0,816.8389286,0,0,0,0,0,1175.480357,1171.326071,8,6,465.5,465.5,0,31.60714286,430.5,10,10,0,2,7,0,0,0,0,0,0
109,M,64,151,1,0,0,0,0,0,1113.518571,0,0,0,0,0,1721.251786,1721.251786,5,5,1979.8675,1979.8675,589.2857143,471.1089286,909.6157143,60,60,11,32,10,NULL,NULL,NULL,NULL,NULL,NULL
110,M,55,76,1,1,1,0,0,0,62.47035714,1146.495714,0,0,0,0,32975.32607,18194.53536,8,6,18252.57143,395.4285714,0,0,395.4285714,8,7,0,0,7,NULL,NULL,NULL,NULL,NULL,NULL
111,F,34,94,1,0,0,1,0,0,0,0,0,31.5575,0,0,1329.852857,1329.852857,4,4,1889.872143,1889.872143,1250,267.8364286,369.5357143,15,15,2,6,6,NULL,NULL,NULL,NULL,NULL,NULL
112,F,73,31,1,0,0,0,0,0,204.4614286,0,0,0,0,0,157.2882143,157.2882143,4,4,222.5764286,222.5764286,146.4285714,76.14785714,0,21,21,8,13,0,0,0,1,0,0,12.5
113,F,43,150,1,0,0,1,0,1,50.78071429,0,0,0,0,17300.48964,251.8785714,191.8075,7,4,241.9903571,226.6475,107.1428571,16.48214286,0,12,9,2,2,0,0,0,0,0,0,0
114,F,26,13,1,0,0,0,1,0,35.71428571,0,0,0,1068.209643,0,1406.255714,691.97,7,6,1016.868571,302.5828571,107.1428571,41.86857143,132.1428571,17,16,7,6,2,0,0,0,0,0,0
115,F,57,144,1,0,0,0,0,0,415.8978571,0,0,0,0,0,7495.072143,7495.072143,4,4,4104.453214,4104.453214,500,11.96071429,0,6,6,2,1,0,NULL,NULL,NULL,NULL,NULL,NULL
116,F,47,239,1,0,0,0,0,0,637.8357143,0,0,0,0,0,91.08071429,91.08071429,2,2,126.9285714,126.9285714,0,124.9642857,0,2,2,0,1,0,0,0,0,0,0,0
117,F,43,153,4,0,0,1,0,0,0,0,0,0,0,0,1095.411071,1095.411071,8,8,1232.391071,1232.391071,0,522.0407143,705.5289286,31,31,0,19,11,NULL,NULL,NULL,NULL,NULL,NULL
118,F,43,92,1,1,2,0,0,0,1184.938214,5876.281429,23214.28571,0,0,0,3098.8125,3075.161786,4,2,1618.580357,1618.580357,142.8571429,1209.508929,266.2142857,34,34,1,26,7,0,0,1,0,0,11.3825
119,F,25,152,1,1,3,0,0,0,194.9589286,3573.113214,8287.8875,0,0,0,218.9935714,218.1089286,3,2,89.98214286,89.98214286,0,53.94642857,33.64285714,6,6,0,3,2,NULL,NULL,NULL,NULL,NULL,NULL
120,M,32,14,1,2,0,0,0,0,156.8175,4.548571429,0,0,0,0,1036.266786,1021.007857,3,2,710.9821429,710.9821429,114.2857143,139.5535714,456.9285714,19,19,1,9,8,0,0,1,0,0,7.297857143
121,F,25,31,1,1,1,1,1,0,37.82142857,541.4121429,329.6078571,98.14071429,2.357142857,0,2883.950714,2502.466786,9,5,2519.906429,1147.464286,71.42857143,1372.442143,727.1428571,45,19,1,26,17,NULL,NULL,NULL,NULL,NULL,NULL
122,M,39,80,1,0,0,0,0,0,1392.766786,0,0,0,0,0,857.1078571,857.1078571,3,3,862.4289286,862.4289286,0,0,861.7860714,5,5,0,0,4,1,1,0,3.293035714,2.857142857,0
123,F,22,40,2,0,0,0,0,0,8883.968214,0,0,0,0,0,30.38178571,30.38178571,2,2,35.89285714,35.89285714,0,33.92857143,0,2,2,0,1,0,0,0,1,0,0,10.46107143
124,M,68,47,1,0,0,1,0,0,120.495,0,0,0,0,0,637.6189286,637.6189286,5,5,456.8696429,456.8696429,0,0,332.7196429,8,8,0,0,5,NULL,NULL,NULL,NULL,NULL,NULL
